ID,Problem,Priority and evidence,Scenario and impact,Build response,Acceptance test,Status,Proposed owner
P01,Retrieved content redirects the agent,"P0 • V/D/B: S01, S02, S04 • PDF p1, p2",An incident ticket or log contains instructions to disclose credentials or change another service; the agent treats evidence as authority.,"Preserve source identity, keep task authorization external to prompts, restrict tools and destinations, and treat detection as an additional signal.",Put malicious instructions into each supported input surface. Forbidden actions must remain blocked even when the model follows the injected request; report benign-task losses separately.,Open,Solo builder
P02,Tool metadata is poisoned or changes after approval,P0 • D: S03 • PDF p1,A registered tool's description or endpoint changes and requests unrelated private information.,"Pin schema, description, endpoint and executable/image digest; require owner review for changes. A signature establishes origin, not safety.",Alter one registered field after approval. Execution must reject the new version until it is explicitly re-registered and approved.,Open,Solo builder
P03,The agent bypasses the model proxy,"P0 • H, informed by G: S11 • PDF p2",An SDK logs safe model calls while the agent directly invokes an API using inherited credentials.,Keep downstream credentials in the tool runner only; restrict agent network access and deny unmanaged tool paths.,Attempt direct calls from the agent process to the mock protected service. They must fail independently of prompts and model decisions.,Open,Solo builder
P04,User authority becomes excessive agent authority,"P0 • G/D: S09, S02 • PDF p1",A user's broad token lets a support agent read unrelated repositories or impersonate another project.,"Intersect user permissions, workflow scope, resource scope, environment, and tool capability; validate token audience. Use separate downstream credentials.","Substitute user, tenant, environment, resource, and token audience one at a time. Deny every unauthorized combination.",Open,Solo builder
P05,Data crosses a forbidden destination boundary,"P0 • V/D: S01, S02 • PDF p1","Private diagnostic data is placed in a public ticket, URL, telemetry export, or unapproved model request.",Restrict model providers and tool destinations; propagate data sensitivity conservatively and block forbidden source-to-destination flows.,"Seed fake secrets and confidential markers; inspect model requests, tool bodies, URLs and telemetry. Zero prohibited egress in the defined suite; redaction alone is insufficient.",Open,Solo builder
P06,An approval is reused or applies to different arguments,P0 • H; authority context from S09 • PDF p2,"The user approves one service change, but a queued call executes against another resource or after a policy change.","Bind approval to immutable argument hash, tool version, resource revision, actor, run, scope, policy version, expiry and a single-use nonce.","Replay, mutate, expire, revoke and concurrently consume approvals. Only one matching execution may be admitted.",Open,Solo builder
P07,Human approval becomes a misleading ritual,P1 • G/H: S12 • PDF p3,A plausible model summary conceals a broad action; repetitive prompts train the operator to approve without reading.,"Show exact destination, affected resource, structured diff, expected outcome, expiry and reversibility; derive these from the execution envelope.","In usability sessions, operators correctly identify a dangerous destination and reject stale approvals. Measure review time and mistaken approval, without claiming statistical certainty from a tiny sample.",Open,Solo builder
P08,Tenant or environment isolation leaks,"P0 • G/H: S19 • PDF p1, p2","A query, embedding search, cache, export or trace lookup returns another customer's data or production data in a test run.","First deploy one tenant per instance; separate dev/pilot credentials and data. For future shared hosting, enforce database and object-store scope everywhere.","Cross-scope ID substitution across retrieval, approvals, runs and exports yields no data. Test database roles that cannot bypass isolation.",Open,Solo builder
P09,Tool execution escapes its intended boundary,P0 • G: S18 • PDF p2,"Path traversal, unsafe shell arguments, network access or a privileged container exposes the host.","Fixed typed adapters, no general shell, read-only mounts, non-root runner, resource caps, no Docker socket, and restricted egress.","Probe traversal, symlinks, redirects, metadata endpoints, forbidden mounts and oversized inputs in an isolated fixture environment.",Open,Solo builder
P10,Policy failure silently permits execution,P0 • G/H: S17 • PDF p2,A policy loader accepts an invalid rule or the decision service times out; application code defaults to allow.,Reject unknown decisions and invalid policy versions. Fail closed for protected actions; explicitly define any permitted cached read policy.,"Corrupt policy configuration, stop the engine and expire cached policy. No write may execute without a valid current decision.",Open,Solo builder
P11,Memory keeps a poisoned instruction alive,P2 • G: S12 • PDF gap,A malicious instruction saved as a helpful note affects later users or sessions.,"Disable persistent agent memory initially. If added, use scoped records, provenance, expiry, separate write approval and quarantine.",Poison one session and start another. No unapproved memory crosses sessions or scope boundaries.,Open,Solo builder
P12,Retries duplicate external side effects,P0 • G: S10 • PDF p1,A ticket is created but the response times out; a retry creates a second ticket.,"Stable logical-action IDs, provider idempotency keys where supported, durable action ledger, and reconciliation after ambiguous outcomes.",Drop the response after commit and redeliver the job. One remote effect for supported adapters; otherwise stop in UNKNOWN and reconcile rather than retry blindly.,Open,Solo builder
P13,The agent reports success after partial failure,P0 • B/H: S05 • PDF p1,"An API returns HTTP success with an application error, or only part of the intended update occurs.","Normalize transport and application errors; verify postconditions through an independent read; distinguish success, partial, failed and unknown.","Inject malformed responses, application errors and partial writes. Final status must match the authoritative fixture state.",Open,Solo builder
P14,Authorization goes stale while work waits,P0 • H • PDF gap,A user or tool is revoked after a job is queued; the worker executes old permissions.,Revalidate current scope and revocation at dispatch; use a short-lived execution capability and resource precondition checks.,"Revoke between queueing, approval and dispatch. Undispatched actions stop; already committed external effects are reported honestly.",Open,Solo builder
P15,A workflow cannot recover after a crash,P1 • G/H: S10 • PDF p1,"A process dies after reserving budget or starting a tool call, leaving orphaned approvals and uncertain actions.","Durable state transitions, leased jobs, transactional outbox and recovery reconciliation; do not use an in-memory queue as truth.","Kill the worker at each transition. Restart preserves decisions, releases safe reservations and flags uncertain actions without duplicate writes.",Open,Solo builder
